,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
218,99.92,100.18,97.45,97.65,22553800,'BRL',0,VALE3,2021-12-14
219,97.72,100.69,97.01,99.67,22456200,'BRL',0,VALE3,2021-12-13
220,99.69,100.71,98.64,99.34,30652300,'BRL',0,VALE3,2021-12-12
221,100.69,101.95,100.4,101.57,18289300,'BRL',1,VALE3,2021-12-11
222,102.08,102.41,100.49,101.02,19157200,'BRL',1,VALE3,2021-12-10
223,101.07,101.15,98.83,99.05,20497000,'BRL',1,VALE3,2021-12-09
224,99.05,99.17,95.97,96.08,38086700,'BRL',0,VALE3,2021-12-08
225,95.66,96.97,93.19,94.08,33551400,'BRL',0,VALE3,2021-12-07
226,95.06,96.91,94.63,96.91,59651800,'BRL',0,VALE3,2021-12-06
227,95.72,98.33,95.18,97.82,22611100,'BRL',0,VALE3,2021-12-05
228,98.33,99.57,97.88,98.96,18432500,'BRL',0,VALE3,2021-12-04
229,99.86,101.49,99.64,100.45,29344800,'BRL',0,VALE3,2021-12-03
230,101.21,101.39,99.89,100.58,23020800,'BRL',1,VALE3,2021-12-02
231,101.1,103.25,100.92,101.82,26050000,'BRL',1,VALE3,2021-12-01
232,102.58,103.0,99.66,100.19,18746100,'BRL',1,VALE3,2021-11-30
233,100.19,102.41,100.19,101.92,19542200,'BRL',1,VALE3,2021-11-29
234,101.31,103.53,101.17,102.59,18851800,'BRL',1,VALE3,2021-11-28
235,102.74,103.6,100.34,100.81,22014500,'BRL',1,VALE3,2021-11-27
236,101.46,102.93,101.08,102.89,19643600,'BRL',1,VALE3,2021-11-26
237,103.18,103.24,101.71,102.52,13678500,'BRL',1,VALE3,2021-11-25
238,102.82,103.59,102.07,103.06,18918300,'BRL',1,VALE3,2021-11-24
239,104.01,104.7,103.27,103.36,21411000,'BRL',1,VALE3,2021-11-23
240,101.48,103.73,101.01,102.96,21787400,'BRL',1,VALE3,2021-11-22
241,104.46,105.36,104.18,104.24,22265400,'BRL',1,VALE3,2021-11-21
242,104.27,105.0,104.04,104.86,12578000,'BRL',1,VALE3,2021-11-20
243,105.32,105.47,103.67,104.29,19433300,'BRL',1,VALE3,2021-11-19
244,104.17,105.23,103.73,104.61,18206300,'BRL',1,VALE3,2021-11-18
245,104.49,104.97,102.37,102.73,19165300,'BRL',1,VALE3,2021-11-17
246,101.46,101.61,99.84,101.61,18550600,'BRL',1,VALE3,2021-11-16
247,101.61,102.48,99.84,102.46,13012600,'BRL',1,VALE3,2021-11-15
248,102.15,104.06,101.91,103.63,19552800,'BRL',1,VALE3,2021-11-14
249,102.98,103.91,102.09,103.91,12052400,'BRL',1,VALE3,2021-11-13
250,102.93,103.72,102.19,103.38,13120600,'BRL',1,VALE3,2021-11-12
251,103.67,105.85,103.67,105.63,16358900,'BRL',1,VALE3,2021-11-11
252,104.81,105.13,103.17,103.44,22005400,'BRL',1,VALE3,2021-11-10
253,104.63,106.53,104.4,106.26,25133000,'BRL',1,VALE3,2021-11-09
254,105.42,106.5,103.95,104.69,30502300,'BRL',1,VALE3,2021-11-08
255,102.83,102.83,98.53,98.53,41582000,'BRL',1,VALE3,2021-11-07
256,100.46,100.89,98.68,98.68,22841700,'BRL',1,VALE3,2021-11-06
257,99.45,102.39,99.14,102.04,36542500,'BRL',0,VALE3,2021-11-05
258,101.46,102.59,101.12,101.93,18749500,'BRL',1,VALE3,2021-11-04
259,99.32,99.64,97.75,98.82,31893900,'BRL',0,VALE3,2021-11-03
260,99.51,100.46,99.2,99.38,19213300,'BRL',0,VALE3,2021-11-02
261,98.02,99.15,97.55,98.75,21417000,'BRL',0,VALE3,2021-11-01
262,98.7,100.32,98.6,99.7,17408400,'BRL',0,VALE3,2021-10-31
263,99.82,100.1,98.98,98.99,14603300,'BRL',0,VALE3,2021-10-30
264,98.92,99.63,98.59,98.92,14788300,'BRL',0,VALE3,2021-10-29
265,99.38,99.56,97.8,98.11,11816500,'BRL',0,VALE3,2021-10-28
266,97.15,98.65,95.95,98.56,21691600,'BRL',0,VALE3,2021-10-27
267,97.94,99.03,95.72,96.93,23287600,'BRL',0,VALE3,2021-10-26
268,95.79,95.79,93.68,93.68,34897400,'BRL',0,VALE3,2021-10-25
269,89.38,90.84,88.14,88.33,59839700,'BRL',0,VALE3,2021-10-24
270,88.41,89.77,88.27,88.37,30250900,'BRL',0,VALE3,2021-10-23
271,88.38,88.71,87.11,87.15,19674700,'BRL',0,VALE3,2021-10-22
272,90.03,91.74,89.77,90.33,29671500,'BRL',0,VALE3,2021-10-21
273,90.67,91.01,89.28,90.14,15030400,'BRL',0,VALE3,2021-10-20
274,90.13,90.41,88.99,88.99,17854600,'BRL',0,VALE3,2021-10-19
275,89.69,91.5,89.59,91.21,19518600,'BRL',0,VALE3,2021-10-18
276,91.33,92.08,90.54,90.64,12966300,'BRL',0,VALE3,2021-10-17
277,89.68,89.92,88.51,89.39,20346400,'BRL',0,VALE3,2021-10-16
278,88.2,90.22,86.71,89.55,20747200,'BRL',0,VALE3,2021-10-15
279,89.48,90.59,88.7,89.27,24317600,'BRL',0,VALE3,2021-10-14
280,90.73,91.39,89.24,89.33,38576900,'BRL',0,VALE3,2021-10-13
281,87.77,88.37,87.11,87.93,11849600,'BRL',0,VALE3,2021-10-12
282,87.39,87.63,85.79,86.1,22429900,'BRL',0,VALE3,2021-10-11
283,86.21,86.71,84.4,85.79,28338900,'BRL',0,VALE3,2021-10-10
284,86.52,87.14,85.89,85.89,17932900,'BRL',0,VALE3,2021-10-09
285,85.79,86.06,85.1,85.84,18795800,'BRL',0,VALE3,2021-10-08
286,86.2,86.59,84.31,85.24,25475000,'BRL',0,VALE3,2021-10-07
287,85.05,85.55,83.11,83.11,34808500,'BRL',0,VALE3,2021-10-06
288,81.92,81.92,79.65,79.66,39353400,'BRL',0,VALE3,2021-10-05
289,79.98,80.43,77.07,78.04,74151296,'BRL',0,VALE3,2021-10-04
290,75.01,76.04,73.5,75.47,49283700,'BRL',0,VALE3,2021-10-03
291,76.73,76.73,74.75,76.2,32031300,'BRL',0,VALE3,2021-10-02
292,79.81,81.06,78.37,78.91,61611800,'BRL',0,VALE3,2021-10-01
293,79.2,80.34,77.62,78.91,47284800,'BRL',0,VALE3,2021-09-30
294,78.29,78.79,77.0,77.69,26370300,'BRL',0,VALE3,2021-09-29
295,78.6,79.33,76.5,78.8,38293000,'BRL',0,VALE3,2021-09-28
296,77.48,77.8,74.56,74.85,35610700,'BRL',0,VALE3,2021-09-27
297,75.77,76.8,74.85,75.8,39615900,'BRL',0,VALE3,2021-09-26
298,77.4,78.34,75.73,76.24,38934500,'BRL',0,VALE3,2021-09-25
299,76.75,77.31,75.68,76.2,22850900,'BRL',0,VALE3,2021-09-24
300,76.59,77.0,75.44,75.49,24954500,'BRL',0,VALE3,2021-09-23
301,75.99,76.1,74.95,74.95,21750200,'BRL',0,VALE3,2021-09-22
302,74.06,77.27,73.92,77.06,27210200,'BRL',0,VALE3,2021-09-21
303,78.34,80.37,77.71,79.36,33067400,'BRL',0,VALE3,2021-09-20
304,81.46,81.84,79.59,79.85,37075800,'BRL',0,VALE3,2021-09-19
305,81.9,83.1,80.74,81.62,28243200,'BRL',0,VALE3,2021-09-18
306,80.8,80.8,79.17,79.2,31616000,'BRL',0,VALE3,2021-09-17
307,79.99,80.24,79.13,79.2,23923700,'BRL',0,VALE3,2021-09-16
308,79.49,80.95,79.3,80.68,26680900,'BRL',0,VALE3,2021-09-15
309,79.91,80.4,78.48,79.92,20848300,'BRL',0,VALE3,2021-09-14
310,79.72,80.24,78.81,79.0,20668800,'BRL',0,VALE3,2021-09-13
311,78.37,78.37,76.28,76.41,27177400,'BRL',0,VALE3,2021-09-12
312,74.5,75.16,72.95,75.16,37427700,'BRL',0,VALE3,2021-09-11
313,74.67,77.1,74.64,76.08,35046300,'BRL',0,VALE3,2021-09-10
314,77.2,77.57,76.37,77.0,17888700,'BRL',0,VALE3,2021-09-09
315,77.01,77.07,76.07,76.18,16606500,'BRL',0,VALE3,2021-09-08
316,75.98,76.73,74.45,74.45,19895200,'BRL',0,VALE3,2021-09-07
317,74.45,74.68,73.55,73.7,22508100,'BRL',0,VALE3,2021-09-06
318,73.02,73.16,71.02,71.61,29960300,'BRL',0,VALE3,2021-09-05
319,72.0,72.86,71.15,72.32,19573100,'BRL',0,VALE3,2021-09-04
320,70.6,70.9,66.61,66.83,76666096,'BRL',1,VALE3,2021-09-03
321,66.89,67.62,65.62,66.07,29806400,'BRL',0,VALE3,2021-09-02
322,66.43,66.66,64.0,64.11,35751300,'BRL',0,VALE3,2021-09-01
323,64.4,68.15,64.33,67.6,27722000,'BRL',0,VALE3,2021-08-31
324,67.25,67.3,65.23,65.94,20961500,'BRL',0,VALE3,2021-08-30
325,64.61,66.28,64.4,65.69,22492600,'BRL',0,VALE3,2021-08-29
326,68.46,69.26,67.6,68.01,28795100,'BRL',0,VALE3,2021-08-28
327,67.18,69.59,67.01,68.3,24542500,'BRL',0,VALE3,2021-08-27
328,68.0,68.07,66.19,66.33,17207900,'BRL',0,VALE3,2021-08-26
329,66.99,67.71,65.0,65.0,25487600,'BRL',0,VALE3,2021-08-25
330,64.21,64.65,61.85,62.33,51343900,'BRL',0,VALE3,2021-08-24
